"Season","Week","coach","team","tie","PF","PA","awin","win","pywin"
1969,14,"Charlie Waller","LAC",0,45,6,1,1,0.991635177487611
1969,14,"Lou Saban","DEN",0,27,16,1,1,0.775581089658034
1969,14,"Weeb Ewbank","NYJ",0,27,9,1,1,0.931100039727795
1966,1,"Vince Lombardi","GB",0,24,3,1,1,0.992813056826994
1966,1,"George Allen","LA",0,19,14,1,1,0.673433249228414
1966,1,"Harry Gilmer","DET",0,14,3,1,1,0.974688392735627
1966,1,"Blanton Collier","CLE",0,38,14,1,1,0.914237875637107
1966,1,"Charley Winner","ARI",0,16,13,1,1,0.620602260374134
1966,1,"Jack Christiansen","SF",1,20,20,0,0.5,0.5
1966,1,"Bill Austin","PIT",1,34,34,0,0.5,0.5
1966,2,"George Allen","LA",0,31,17,1,1,0.805938770807116
1966,2,"Tom Landry","DAL",0,52,7,1,1,0.991444940561018
1966,2,"Joe Kuharich","PHI",0,23,10,1,1,0.878039528050036
1966,2,"Vince Lombardi","GB",0,21,20,1,1,0.528876004545605
1966,2,"Don Shula","IND",0,38,23,1,1,0.766733535808575
1966,2,"Charley Winner","ARI",0,23,7,1,1,0.943710649268336
1966,2,"Bill Austin","PIT",0,17,3,1,1,0.983873040676166
1966,3,"Tom Landry","DAL",0,28,17,1,1,0.765416596034888
1966,3,"Harry Gilmer","DET",0,28,10,1,1,0.919841689546541
1966,3,"Charley Winner","ARI",0,34,28,1,1,0.613049701402781
1966,3,"Don Shula","IND",0,36,14,1,1,0.903642972665804
1966,3,"Vince Lombardi","GB",0,24,13,1,1,0.810468555735562
1966,3,"Joe Kuharich","PHI",0,35,17,1,1,0.847025463809625
1966,3,"Otto Graham","WAS",0,33,27,1,1,0.616705871366942
1966,4,"George Allen","LA",0,34,3,1,1,0.996839196868753
1966,4,"George Halas","CHI",0,13,10,1,1,0.650628571366676
1966,4,"Tom Landry","DAL",0,47,14,1,1,0.946357764208884
1966,4,"Blanton Collier","CLE",0,28,7,1,1,0.963928624963548
1966,4,"Charley Winner","ARI",0,41,10,1,1,0.965909096173442
1966,4,"Vince Lombardi","GB",0,23,14,1,1,0.764327894076601
1966,4,"Otto Graham","WAS",0,24,10,1,1,0.888435674032338
1966,5,"Blanton Collier","CLE",0,41,10,1,1,0.965909096173442
1966,5,"George Halas","CHI",0,27,17,1,1,0.749588297731208
1966,5,"Tom Landry","DAL",0,56,7,1,1,0.992813056826994
1966,5,"Otto Graham","WAS",0,33,20,1,1,0.766174964437745
1966,5,"Charley Winner","ARI",0,24,19,1,1,0.634985989548147
1966,5,"George Allen","LA",0,14,7,1,1,0.837909980755396
1966,5,"Jack Christiansen","SF",0,21,20,1,1,0.528876004545605
1966,6,"Vince Lombardi","GB",0,17,0,1,1,1
1966,6,"Don Shula","IND",0,45,14,1,1,0.940878770605097
1966,6,"Norm Van Brocklin","MIN",0,35,7,1,1,0.97842413351047
1966,6,"Jack Christiansen","SF",0,44,7,1,1,0.987341941529081
1966,6,"Tom Landry","DAL",1,10,10,0,0.5,0.5
1966,6,"Allie Sherman","NYG",0,13,10,1,1,0.650628571366676
1966,6,"Joe Kuharich","PHI",0,31,14,1,1,0.868068044570176
1966,7,"George Halas","CHI",0,17,10,1,1,0.778610780604855
1966,7,"Blanton Collier","CLE",0,30,21,1,1,0.699584404622778
1966,7,"Don Shula","IND",0,20,17,1,1,0.595119403385975
1966,7,"Vince Lombardi","GB",0,56,3,1,1,0.99902915496878
1966,7,"Otto Graham","WAS",0,26,20,1,1,0.650628571366676
1966,7,"Jack Christiansen","SF",0,27,24,1,1,0.56933679165297
1966,7,"Joe Kuharich","PHI",0,31,3,1,1,0.996068670550245
1966,8,"Don Shula","IND",0,17,3,1,1,0.983873040676166
1966,8,"Tom Landry","DAL",0,52,21,1,1,0.89556869430444
1966,8,"Norm Van Brocklin","MIN",0,28,3,1,1,0.995001535748015
1966,8,"Blanton Collier","CLE",0,49,17,1,1,0.924763286923594
1966,8,"Vince Lombardi","GB",0,31,7,1,1,0.971439174652826
1966,8,"Otto Graham","WAS",0,27,13,1,1,0.849694041724121
1966,8,"Charley Winner","ARI",0,24,17,1,1,0.693656944691229
1966,9,"Harry Gilmer","DET",1,10,10,0,0.5,0.5
1966,9,"Bill Austin","PIT",0,16,6,1,1,0.910891197056884
1966,9,"Don Shula","IND",0,37,10,1,1,0.956923621041265
1966,9,"Joe Kuharich","PHI",0,24,23,1,1,0.525195213806193
1966,9,"Charley Winner","ARI",0,20,17,1,1,0.595119403385975
1966,9,"Norm Van Brocklin","MIN",0,20,17,1,1,0.595119403385975
1966,9,"Jack Christiansen","SF",0,21,13,1,1,0.757052677872087
1966,10,"Don Shula","IND",0,19,7,1,1,0.914237875637106
1966,10,"Jack Christiansen","SF",1,30,30,0,0.5,0.5
1966,10,"Blanton Collier","CLE",0,27,7,1,1,0.960808917529777
1966,10,"Tom Landry","DAL",0,31,30,1,1,0.519418198577094
1966,10,"George Allen","LA",0,55,14,1,1,0.962414025571855
1966,10,"Bill Austin","PIT",0,30,9,1,1,0.945494968407233
1966,10,"Harry Gilmer","DET",0,32,31,1,1,0.518802233503463
1966,11,"Norb Hecker","ATL",0,27,16,1,1,0.775581089658034
1966,11,"Vince Lombardi","GB",0,13,6,1,1,0.862054526281365
1966,11,"Blanton Collier","CLE",0,14,3,1,1,0.974688392735627
1966,11,"Harry Gilmer","DET",0,20,14,1,1,0.699584404622778
1966,11,"Tom Landry","DAL",0,20,7,1,1,0.923301836597259
1966,11,"George Allen","LA",0,21,6,1,1,0.951156078716836
1966,11,"Joe Kuharich","PHI",0,35,34,1,1,0.517168363591455
1966,12,"Tom Landry","DAL",0,26,14,1,1,0.812619690717584
1966,12,"Jack Christiansen","SF",0,41,14,1,1,0.927344762367681
1966,12,"George Halas","CHI",0,23,6,1,1,0.960252577289812
1966,12,"George Allen","LA",0,23,7,1,1,0.943710649268336
1966,12,"Charley Winner","ARI",0,6,3,1,1,0.837909980755396
1966,12,"Vince Lombardi","GB",0,28,16,1,1,0.790226198531514
1966,12,"Otto Graham","WAS",0,72,41,1,1,0.791589441780189
1966,13,"Norb Hecker","ATL",0,20,13,1,1,0.73515867966055
1966,13,"Don Shula","IND",0,21,16,1,1,0.655766123338742
1966,13,"Blanton Collier","CLE",0,49,40,1,1,0.617976852815885
1966,13,"Tom Landry","DAL",0,31,17,1,1,0.805938770807116
1966,13,"Vince Lombardi","GB",0,20,7,1,1,0.923301836597259
