Head_Coach,Coach,weight,group,lrole
Harland Svare,Bum Phillips,1,aDC,aDC
Harland Svare,Forrest Gregg,1,aOC,aOC
Harland Svare,Ron Waller,1,aSTC,aSTC
Harry Gilmer,Joe Schmidt,1,aDC,aDC
Harry Gilmer,John North,1,aOC,aOC
Harvey Johnson,John Mazur,1,aOC,aOC
Harvey Johnson,Tom Flores,1,aOC,aOC
Herm Edwards,Doug Marrone,4,aOC,aOC
Homer Rice,Frank Gansz,2,aOC,aSTC
Howard Schnellenberger,Pete McCulley,2,aOC,aOC
Hue Jackson,Freddie Kitchens,2,aOC,OC
Hugh Campbell,Jerry Glanville,2,DC,DC
J.D. Roberts,Ed Biles,1,aDC,aDC
J.D. Roberts,Ed Khayat,1,aDC,aDC
J.D. Roberts,Jerry Smith,1,aDC,aDC
Jack Christiansen,Bill Johnson,2,aOC,aOC
Jack Del Rio,Anthony Lynn,2,aOC,aOC
Jack Del Rio,Dirk Koetter,5,OC,OC
Jack Del Rio,Mike Smith,5,DC,DC
Jack Pardee,Chris Palmer,3,aOC,aOC
Jack Pardee,Fred O'Connor,3,aOC,aOC
Jack Pardee,Gregg Williams,5,aDC,aDC
Jack Pardee,Jeff Fisher,1,DC,DC
Jack Pardee,Joe Walton,3,OC,OC
Jack Pardee,Kevin Gilbride,5,OC,OC
Jack Pardee,Mike Munchak,2,aOC,aOC
Jack Pardee,Richie Petitbon,3,aDC,aDC
Jack Patera,Jim Mora,4,aDC,aDC
Jay Gruden,Sean McVay,3,OC,OC
Jeff Fisher,Gregg Williams,6,DC,DC
Jeff Fisher,Jim Schwartz,10,DC,DC
Jeff Fisher,Mike Munchak,18,aOC,aOC
Jerry Burns,Marc Trestman,3,aOC,aOC
Jerry Burns,Pete Carroll,4,aDC,aDC
Jerry Glanville,June Jones,5,OC,OC
Jerry Glanville,Kevin Gilbride,1,OC,OC
Jerry Glanville,Nick Saban,2,aDC,aDC
Jerry Williams,Marv Levy,1,aSTC,aSTC
Jim Caldwell,Frank Reich,3,aOC,aOC
Jim Dooley,Abe Gibron,4,aDC,aDC
Jim Dooley,Jim Ringo,3,aOC,aOC
Jim Fassel,John Fox,5,DC,DC
Jim Fassel,Sean Payton,4,OC,OC
Jim Hanifan,Rod Dowhower,2,OC,OC
Jim Harbaugh,Jim Tomsula,4,aDC,aDC
Jim Harbaugh,Vic Fangio,4,DC,DC
Jim Haslett,Ben McAdoo,2,aOC,aOC
Jim Haslett,Mike McCarthy,5,OC,OC
Jim Mora,Bruce Arians,4,aOC,aOC
Jim Mora,Dan Quinn,1,aDC,aDC
Jim Mora,Dennis Allen,2,aDC,aDC
Jim Mora,Dom Capers,6,aDC,aDC
Jim Mora,Gus Bradley,1,DC,DC
Jim Mora,Jim Haslett,2,aDC,DC
Jim Mora,Tom Cable,1,aOC,aOC
Jim Mora,Vic Fangio,12,aDC,DC
Jim Zorn,Arthur Smith,1,aDC,aDC
Jimmy Johnson,Butch Davis,6,aDC,DC
Jimmy Johnson,Dave Campo,5,aDC,aDC
Jimmy Johnson,Dave Wannstedt,4,DC,DC
Jimmy Johnson,David Shula,2,OC,OC
Jimmy Johnson,Norv Turner,6,aOC,OC
Joe Collier,Jerry Smith,2,aOC,aOC
Joe Collier,John Mazur,2,aOC,aOC
Joe Gibbs,Arthur Smith,1,aDC,aDC
Joe Gibbs,Dan Henning,2,aOC,aOC
Joe Gibbs,Joe Bugel,25,aOC,OC
Joe Gibbs,Richie Petitbon,12,DC,DC
Joe Gibbs,Steve Spagnuolo,1,Intern,Intern
