"Head_Coach","Coach","weight","group","group_count","lrole","tW","tPyW","tg_hc","ftm","ltm","fy_hc","ly_hc","fy_a","ly_a","TYr","nw","pyw500","above500","odo","cord","lodo","lcord"
"Bill Parcells","Mike Zimmer",4,"DC",4,"DC",172,169.33,303,"NYG","DAL",1983,2006,2003,2006,4,1,1,1,2,1,2,1
"Bill Parcells","Ray Handley",7,"aOC",7,"aOC",172,169.33,303,"NYG","DAL",1983,2006,1984,1990,7,1,1,1,1,0,1,0
"Bill Parcells","Romeo Crennel",15,"aDC",8,"aDC",172,169.33,303,"NYG","DAL",1983,2006,1983,1999,15,1,1,1,2,0,2,0
"Bill Parcells","Sean Payton",6,"aOC",3,"aOC",172,169.33,303,"NYG","DAL",1983,2006,2003,2005,3,2,1,1,1,0,1,0
"Bill Parcells","Todd Bowles",2,"aDC",2,"aDC",172,169.33,303,"NYG","DAL",1983,2006,2005,2006,2,1,1,1,2,0,2,0
"Bill Parcells","Todd Haley",11,"aOC",9,"aOC",172,169.33,303,"NYG","DAL",1983,2006,1997,2006,6,1.83333333333333,1,1,1,0,1,0
"Bill Parcells","Tom Coughlin",3,"aOC",3,"aOC",172,169.33,303,"NYG","DAL",1983,2006,1988,1990,3,1,1,1,1,0,1,0
"Bill Parcells","Tony Sparano",6,"aOC",6,"aOC",172,169.33,303,"NYG","DAL",1983,2006,2003,2006,4,1.5,1,1,1,0,1,0
"Bill Peterson","Dan Henning",2,"aOC",2,"aOC",2,3.47,28,"TEN","TEN",1972,1973,1972,1972,1,2,0,0,1,0,1,0
"Bill Walsh","Bruce Coslet",1,"aOC",1,"aOC",92,97.4,152,"SF","SF",1979,1988,1980,1980,1,1,1,1,1,0,1,0
"Bill Walsh","Dennis Green",4,"aOC",3,"aOC",92,97.4,152,"SF","SF",1979,1988,1979,1988,4,1,1,1,1,0,1,0
"Bill Walsh","George Seifert",9,"DC",6,"DC",92,97.4,152,"SF","SF",1979,1988,1980,1988,9,1,1,1,2,1,2,1
